"Simplified","Traditional","Pinyin","Level","Meaning"
"相亲相爱","相親相愛","xiang1qin1xian1gai4","6","to be kind and love one another (idiom); bound by deep emotions"
"香肠","香腸","xiang1chang2","6","sausage"
"乡村","鄉村","xiang1cun1","6","rustic"
"响应","響應","xiang3ying4","6","to respond to"
"相亲","相親","xiang4qin1","6","blind date"
"向来","向來","xiang4lai2","6","always (previously)"
"项目","項目","xiang4mu4","6","item"
"消费","消費","xiao1fei4","6","to consume"
"消极","消極","xiao1ji2","6","negative"
"消灭","消滅","xiao1mie4","6","to put an end to"
"销路","銷路","xiao1lu4","6","sale"
"销售","銷售","xiao1shou4","6","to sell"
"小费","小費","xiao3fei4","6","tip"
"小麦","小麥","xiao3mai4","6","wheat"
"小气","小氣","xiao3qi4","6","stingy"
"晓得","曉得","xiao3de","6","to know"
"校车","校車","xiao4che1","6","school bus"
"心灵","心靈","xin1ling2","6","bright"
"心声","心聲","xin1sheng1","6","thoughts"
"心脏","心臟","xin1zang4","6","heart"
"新兴","新興","xin1xing1","6","new"
"信号","信號","xin4hao4","6","signal"
"形状","形狀","xing2zhuang4","6","form"
"性质","性質","xing4zhi2","6","nature"
"雄伟","雄偉","xiong2wei3","6","grand"
"休闲","休閒","xiu1xian2","6","leisure"
"须知","須知","xu1zhi1","6","key information"
"许愿","許願","xu3yuan4","6","to make a wish"
"宣传","宣傳","xuan1chuan2","6","to disseminate"
"悬","懸","xuan2","6","to hang or suspend"
"选手","選手","xuan3shou3","6","athlete"
"学历","學歷","xue2li4","6","educational background"
"学术","學術","xue2shu4","6","learning"
"学位","學位","xue2wei4","6","academic degree"
"学业","學業","xue2ye4","6","studies"
"学者","學者","xue2zhe3","6","scholar"
"削减","削減","xue4jian3","6","to cut down"
"循环","循環","xun2huan2","6","to cycle"
"压","壓","ya1","6","to press"
"压力","壓力","ya1li4","6","pressure"
"压迫","壓迫","ya1po4","6","to oppress"
"严格","嚴格","yan2ge2","6","strict"
"严肃","嚴肅","yan2su4","6","solemn"
"盐巴","鹽巴","yan2ba1","6","table salt"
"延长","延長","yan2chang2","6","to prolong"
"掩盖","掩蓋","yan3gai4","6","to conceal"
"宴会","宴會","yan4hui4","6","banquet"
"厌恶","厭惡","yan4wu4","6","to loathe"
"痒","癢","yang3","6","to itch"
"氧气","氧氣","yang3qi4","6","oxygen"
"样品","樣品","yang4pin3","6","sample"
"摇","搖","yao2","6","to shake"
"摇摆","搖擺","yao2bai3","6","to sway"
"摇头","搖頭","yao2tou2","6","to shake one's head"
"药方","藥方","yao4fang1","6","prescription"
"药水","藥水","yao4shui3","6","Yaksu in North Korea, near the border with Liaoning and Jiling province"
"药物","藥物","yao4wu4","6","medicaments"
"野兽","野獸","ye3shou4","6","beast"
"业务","業務","ye4wu4","6","business"
"业余","業餘","ye4yu2","6","in one's spare time"
"叶子","葉子","ye4zi","6","foliage"
"依据","依據","yi1ju4","6","according to"
"医师","醫師","yi1shi1","6","doctor"
"医学","醫學","yi1xue2","6","medicine"
"一带","一帶","yi1dai4","6","region"
"移动","移動","yi2dong4","6","to move"
"疑问","疑問","yi2wen4","6","question"
"仪器","儀器","yi2qi4","6","instrument"
"仪式","儀式","yi2shi4","6","ceremony"
"一口气","一口氣","yi1kou3qi4","6","one breath"
"一齐","一齊","yi1qi2","6","at the same time"
"意识","意識","yi4shi4","6","consciousness"
"意愿","意願","yi4yuan4","6","aspiration"
"亿","億","yi4","6","100 million"
"义务","義務","yi4wu4","6","duty"
"议会","議會","yi4hui4","6","parliament"
"引发","引發","yin3fa1","6","to lead to"
"饮食","飲食","yin3shi2","6","food and drink"
"应当","應當","ying1dang1","6","should"
"婴儿","嬰兒","ying1er2","6","infant"
"赢得","贏得","ying2de2","6","to win"
"营业","營業","ying2ye4","6","to do business"
"应付","應付","ying4fu4","6","to deal with"
"应邀","應邀","ying4yao1","6","at sb's invitation"
"应用","應用","ying4yong4","6","to use"
"拥抱","擁抱","yong3bao4","6","to embrace"
"拥护","擁護","yong3hu4","6","to endorse"
"拥挤","擁擠","yong3ji3","6","crowded"
"勇气","勇氣","yong3qi4","6","courage"
"用不着","用不著","yong4bu4zhao2","6","not need"
"用处","用處","yong4chu","6","usefulness"
"用得着","用得著","yong4dezhao2","6","to be able to use"
"忧郁","憂鬱","you1yu4","6","sullen"
"优惠","優惠","you1hui4","6","preferential"
"优良","優良","you1liang2","6","fine"
"优美","優美","you1mei3","6","graceful"
"优越","優越","you1yue4","6","superior"
"油腻","油膩","you2ni4","6","grease"
"邮差","郵差","you2chai1","6","(old) postman"
"邮件","郵件","you2jian4","6","mail"
"游戏","遊戲","you2xi4","6","game"
"游行","遊行","you2xing2","6","march"
"犹豫","猶豫","you2yu4","6","to hesitate"
"有关","有關","you3guan1","6","to have sth to do with"
"娱乐","娛樂","yu2le4","6","to entertain"
"语调","語調","yu3diao4","6","intonation"
"语气","語氣","yu3qi4","6","tone"
"语音","語音","yu3yin1","6","speech sounds"
"与其","與其","yu3qi2","6","rather than..."
"遇见","遇見","yu4jian4","6","to meet"
"预报","預報","yu4bao4","6","forecast"
"预定","預定","yu4ding4","6","to schedule in advance"
"预订","預訂","yu4ding4","6","to place an order"
"预计","預計","yu4ji4","6","to forecast"
"预算","預算","yu4suan4","6","budget"
"预先","預先","yu4xian1","6","beforehand"
"原则","原則","yuan2ze2","6","principle"
"原则上","原則上","yuan2ze2shang4","6","in principle"
"原子笔","原子筆","yuan2zi3bi3","6","ballpoint pen"
"圆满","圓滿","yuan2man3","6","satisfactory"
"圆形","圓形","yuan2xing2","6","round"
"缘故","緣故","yuan2gu4","6","reason"
"远大","遠大","yuan3da4","6","far-reaching"
"晕","暈","yun1","6","confused"
"允许","允許","yun3xu3","6","to permit"
"运输","運輸","yun4shu1","6","transport"
"运送","運送","yun4song4","6","to transport"
"运用","運用","yun4yong4","6","to use"
"运转","運轉","yun4zhuan3","6","to work"
"灾害","災害","zai1hai4","6","calamity"
"灾难","災難","zai1nan4","6","disaster"
"再说","再說","zai4shuo1","6","to say again"
"咱们","咱們","zan2men","6","we or us (including both the speaker and the person(s) spoken to)"
"赞成","贊成","zan4cheng2","6","to approve"
"赞同","贊同","zan4tong2","6","to approve of"
"赞美","讚美","zan4mei3","6","to admire"
"葬礼","葬禮","zang4li3","6","burial"
"早点","早點","zao3dian3","6","breakfast"
"增长","增長","zeng1zhang3","6","to grow"
"赠品","贈品","zeng4pin3","6","gift"
"赠送","贈送","zeng4song4","6","to present as a gift"
"展开","展開","zhan3kai1","6","to unfold"
"展览","展覽","zhan3lan3","6","to put on display"
"战场","戰場","zhan4chang3","6","battlefield"
"长辈","長輩","zhang3bei4","6","one's elders"
"涨","漲","zhang3","6","to rise (of prices, rivers)"
"涨价","漲價","zhang3jia4","6","to appreciate (in value)"
"掌声","掌聲","zhang3sheng1","6","applause"
"帐单","帳單","zhang4dan1","6","bill"
"召开","召開","zhao4kai1","6","to convene (a conference or meeting)"
"针对","針對","zhen1dui4","6","to target"
"侦探","偵探","zhen1tan4","6","detective"
"枕头","枕頭","zhen3tou","6","pillow"
"阵","陣","zhen4","6","disposition of troops"
"阵子","陣子","zhen4zi","6","period of time"
"震动","震動","zhen4dong4","6","to shake"
"争论","爭論","zheng1lun4","6","to argue"
"争取","爭取","zheng1qu3","6","to fight for"
"睁","睜","zheng1","6","to open (one's eyes)"
"征求","徵求","zheng1qiu2","6","to solicit"
"整洁","整潔","zheng3jie2","6","neatly"
"整数","整數","zheng3shu4","6","whole number"
"正规","正規","zheng4gui1","6","regular"
"正经","正經","zheng4jing","6","decent"
"政党","政黨","zheng4dang3","6","political party"
"证件","證件","zheng4jian4","6","certificate"
"证据","證據","zheng4ju4","6","evidence"
"证实","證實","zheng4shi2","6","to confirm (sth to be true)"
"症状","症狀","zheng4zhuang4","6","symptom (of an illness)"
"之类","之類","zhi1lei4","6","and so on"
"直线","直線","zhi2xian4","6","straight line"
"掷","擲","zhi2","6","to toss"
"职位","職位","zhi2wei4","6","post"
"执行","執行","zhi2xing2","6","to implement"
"指导","指導","zhi3dao3","6","to guide"
"指责","指責","zhi3ze2","6","to criticize"
"纸张","紙張","zhi3zhang1","6","paper"
"志气","志氣","zhi4qi4","6","ambition"
"志愿","志願","zhi4yuan4","6","aspiration"
"制造","製造","zhi4zao4","6","to manufacture"
"制作","製作","zhi4zuo4","6","to make"
"中级","中級","zhong1ji2","6","middle level (in a hierarchy)"
"中药","中藥","zhong1yao4","6","(traditional) Chinese medicine"
"肿","腫","zhong3","6","to swell"
"种类","種類","zhong3lei4","6","kind"
"种子","種子","zhong3zi3","6","seed"
"种族","種族","zhong3zu2","6","race"
"重伤","重傷","zhong4shang1","6","seriously hurt"
"逐渐","逐漸","zhu2jian4","6","gradually"
"主办","主辦","zhu3ban4","6","to organize"
"主观","主觀","zhu3guan1","6","subjective"
"主张","主張","zhu3zhang1","6","to advocate"
"祝贺","祝賀","zhu4he4","6","to congratulate"
"注册","註冊","zhu4ce4","6","to register"
"专家","專家","zhuan1jia1","6","expert"
"专利","專利","zhuan1li4","6","patent"
"专门","專門","zhuan1men2","6","specialist"
"专人","專人","zhuan1ren2","6","specialist"
"转变","轉變","zhuan3bian4","6","to change"
"转播","轉播","zhuan3bo4","6","relay"
"转达","轉達","zhuan3da2","6","to pass on"
"转告","轉告","zhuan3gao4","6","to pass on"
"转机","轉機","zhuan3ji1","6","(to take) a turn for the better"
"转身","轉身","zhuan3shen1","6","(of a person) to turn round"
"转向","轉向","zhuan3xiang4","6","to change direction"
"赚","賺","zhuan4","6","to earn"
"装饰","裝飾","zhuang1shi4","6","to decorate"
"壮","壯","zhuang4","6","Zhuang ethnic group of Guangxi, the PRC's second most numerous ethnic group"
"状况","狀況","zhuang4kuang4","6","condition"
"准考证","准考證","zhun3kao3zheng4","6","(exam) admission ticket"
"准确","準確","zhun3que4","6","accurate"
"资本","資本","zi1ben3","6","capital (economics)"
"资格","資格","zi1ge2","6","qualifications"
"资金","資金","zi1jin1","6","funds"
"资讯","資訊","zi1xun4","6","information"
"自来水","自來水","zi4lai2shui3","6","running water"
"自愿","自願","zi4yuan4","6","voluntary"
"总共","總共","zong3gong4","6","altogether"
"总理","總理","zong3li3","6","premier"
"综合","綜合","zong4he2","6","comprehensive"
"组织","組織","zu3zhi1","6","to organize"
"阻碍","阻礙","zu3ai4","6","to obstruct"
"祖国","祖國","zu3guo2","6","motherland"
"钻","鑽","zuan1","6","to drill"
"钻石","鑽石","zuan4shi2","6","diamond"
"作为","作為","zuo4wei2","6","one's conduct"
"爱戴","愛戴","ai4dai4","7","to love and respect"
"爱国","愛國","ai4guo2","7","to love one's country"
"爱滋病","愛滋病","ai4zi1bing4","7","variant of 艾滋病[ai4 zi1 bing4]"
"安顿","安頓","an1dun4","7","to find a place for"
"安抚","安撫","an1fu3","7","to placate"
"安宁","安寧","an1ning2","7","peaceful"
"安详","安詳","an1xiang2","7","serene"
"昂贵","昂貴","ang2gui4","7","expensive"
"奥妙","奧妙","ao4miao4","7","marvelous"
"懊恼","懊惱","ao4nao3","7","annoyed"
"白皮书","白皮書","bai2pi2shu1","7","white paper (e.g. containing proposals for new legislation)"
"拜会","拜會","bai4hui4","7","pay an official call"
"颁发","頒發","ban1fa1","7","to issue"
"颁奖","頒獎","ban1jiang3","7","to confer an award"
"办案","辦案","ban4an4","7","to handle a case"
"半岛","半島","ban4dao3","7","peninsula"
"半导体","半導體","ban4dao3ti3","7","semiconductor"
"绑","綁","bang3","7","to tie"
"包围","包圍","bao1wei2","7","to surround"
"宝石","寶石","bao3shi2","7","precious stone"
"饱和","飽和","bao3he2","7","saturation"
"饱满","飽滿","bao3man3","7","full"
"保龄球","保齡球","bao3ling2qiu2","7","ten-pin bowling (loanword)"
"报案","報案","bao4an4","7","to report a case to the authorities"
"报表","報表","bao4biao3","7","forms for reporting statistics"
"报酬","報酬","bao4chou2","7","reward"
"报复","報復","bao4fu4","7","to make reprisals"
"报关","報關","bao4guan1","7","to declare at customs"
"报价","報價","bao4jia4","7","to quote a price"
"报刊","報刊","bao4kan1","7","newspapers and periodicals"
"报应","報應","bao4ying4","7","retribution"
"报章","報章","bao4zhang1","7","newspapers"
"爆发","爆發","bao4fa1","7","to break out"
"抱负","抱負","bao4fu4","7","aspiration"
"悲观","悲觀","bei1guan1","7","pessimistic"
"贝壳","貝殼","bei4ke2","7","shell"
"倍数","倍數","bei4shu4","7","multiple"
"背诵","背誦","bei4song4","7","to recite"
"奔腾","奔騰","ben1teng2","7","Pentium (microprocessor by Intel)"
"本质","本質","ben3zhi2","7","essence"
"崩溃","崩潰","beng1kui4","7","to collapse"
"编辑","編輯","bian1ji2","7","to edit"
"编写","編寫","bian1xie3","7","to compile"
"编织","編織","bian1zhi1","7","to weave"
"编制","編制, 編製","bian1zhi4","7","to establish (a unit or department)"
"边界","邊界","bian1jie4","7","boundary"
"边缘","邊緣","bian1yuan2","7","edge"
"贬","貶","bian3","7","to diminish"
"贬值","貶值","bian3zhi2","7","to become devaluated"
"匾额","匾額","bian3e2","7","a horizontal inscribed board"
"辨认","辨認","bian4ren4","7","to recognize"
"辨识","辨識","bian4shi4","7","identification"
"辩","辯","bian4","7","to dispute"
"辩护","辯護","bian4hu4","7","to speak in defense of"
"辩论","辯論","bian4lun4","7","debate"
"变革","變革","bian4ge2","7","to transform"
"变迁","變遷","bian4qian1","7","changes"
"变通","變通","bian4tong1","7","pragmatic"
"变形","變形","bian4xing2","7","deformation"
"标签","標籤","biao1qian1","7","label"
"标语","標語","biao1yu3","7","written slogan"
"笔录","筆錄","bi3lu4","7","to put down in writing"
"笔友","筆友","bi3you3","7","pen pal"
"比拟","比擬","bin3i3","7","to compare"
"必备","必備","bi4bei4","7","essential"
"闭幕","閉幕","bi4mu4","7","the curtain falls"
"闭塞","閉塞","bi4se4","7","to stop up"
"避难","避難","bin4an4","7","refuge"
"毕生","畢生","bi4sheng1","7","all one's life"
"币值","幣值","bi4zhi2","7","value of a currency"
"别墅","別墅","bie2shu4","7","villa"
"宾馆","賓館","bin1guan3","7","guesthouse"
"并列","並列","bing4lie4","7","to stand side by side"
"并重","並重","bing4zhong4","7","to lay equal stress on"
"并发","併發","bing4fa1","7","to be complicated by"
"剥","剝","bo1","7","to peel"
"剥削","剝削","bo1xue4","7","to exploit"
"搏斗","搏鬥","bo2dou4","7","to wrestle"
"补给","補給","bu3ji3","7","supply"
"补救","補救","bu3jiu4","7","to remedy"
"补习班","補習班","bu3xi2ban1","7","cram class"
"哺乳动物","哺乳動物","bu3ru3dong4wu4","7","mammal"
"不动产","不動產","bu4dong4chan3","7","real estate"
"不时","不時","bu4shi2","7","from time to time"
"不知不觉","不知不覺","bu4zhi1bu4jue2","7","unconsciously"
"步调","步調","bu4diao4","7","gait"
"步骤","步驟","bu4zou4","7","procedure"
"猜测","猜測","cai1ce4","7","to guess"
"裁缝","裁縫","cai2feng2","7","tailor"
"裁减","裁減","cai2jian3","7","to reduce"
"财团","財團","cai2tuan2","7","financial group"
"财政","財政","cai2zheng4","7","finances (public)"
"采访","採訪","cai3fang3","7","to interview"
"采光","採光","cai3guang1","7","lighting"
"采纳","採納","cai3na4","7","to accept"
"采取","採取","cai3qu3","7","to adopt or carry out (measures, policies, course of action)"
"彩绘","彩繪","cai3hui4","7","painted"
"参谋","參謀","can1mou2","7","staff officer"
"残暴","殘暴","can2bao4","7","brutal"
"残酷","殘酷","can2ku4","7","cruel"
"残杀","殘殺","can2sha1","7","to massacre"
"惨重","慘重","can3zhong4","7","disastrous"
"灿烂","燦爛","can4lan4","7","to glitter"
"苍白","蒼白","cang1bai2","7","pale"
"苍蝇","蒼蠅","cang1ying","7","housefly"
"操纵","操縱","cao1zong4","7","to operate"
"草丛","草叢","cao3cong2","7","underbrush"
"草药","草藥","cao3yao4","7","herbal medicine"
"策画","策畫","ce4hua4","7","variant of 策劃|策划[ce4 hua4]"
"差额","差額","cha1e2","7","balance (financial)"
"察觉","察覺","cha2jue2","7","to sense"
"蝉","蟬","chan2","7","cicada"
"馋","饞","chan2","7","gluttonous"
"长远","長遠","chang2yuan3","7","long-term"
"场次","場次","chang3ci4","7","the number of showings of a movie, play etc"
"场面","場面","chang3mian4","7","scene"
"倡导","倡導","chang4dao3","7","to advocate"
"畅销","暢銷","chang4xiao1","7","to sell well"
"产物","產物","chan3wu4","7","product"
"产值","產值","chan3zhi2","7","value of output"
"超脱","超脫","chao1tuo1","7","to stand aloof"
"抄袭","抄襲","chao1xi2","7","to plagiarize"
"车辆","車輛","che1liang4","7","vehicle"
"车厢","車廂","che1xiang1","7","carriage"
"撤销","撤銷","che4xiao1","7","to repeal"
"尘土","塵土","chen2tu3","7","dust"
"承担","承擔","cheng2dan1","7","to undertake"
"承诺","承諾","cheng2nuo4","7","to promise"
"成败","成敗","cheng2bai4","7","success or failure"
"成见","成見","cheng2jian4","7","preconceived idea"
"成员","成員","cheng2yuan2","7","member"
"称号","稱號","cheng1hao4","7","name"
"称呼","稱呼","cheng1hu1","7","to call"
"撑腰","撐腰","cheng1yao1","7","to support"
"呈献","呈獻","cheng2xian4","7","to present respectfully"
"诚心","誠心","cheng2xin1","7","sincerity"
"诚心诚意","誠心誠意","cheng2xin1cheng2yi4","7","earnestly and sincerely (idiom); with all sincerity"
"诚挚","誠摯","cheng2zhi4","7","sincere"
"吃惊","吃驚","chi1jing1","7","to be startled"
"持续","持續","chi2xu4","7","to continue"
"迟钝","遲鈍","chi2dun4","7","slow in one's reactions"
"冲淡","沖淡","chong1dan4","7","to dilute"
"冲天","沖天","chong1tian1","7","to soar"
"冲动","衝動","chong1dong4","7","to have an urge"
"冲击","衝擊","chong1ji2","7","to attack"
"冲突","衝突","chong1tu2","7","conflict"
"重叠","重疊","chong2die2","7","to overlap"
"宠爱","寵愛","chon3gai4","7","to dote on sb"
"宠物","寵物","chong3wu4","7","house pet"
"抽样","抽樣","chou1yang4","7","sample"
"出错","出錯","chu1cuo4","7","to make a mistake"
"出发点","出發點","chu1fa1dian3","7","starting point"
"出马","出馬","chu1ma3","7","to set out (on a campaign)"
"出卖","出賣","chu1mai4","7","to offer for sale"
"出头","出頭","chu1tou2","7","to get out of a predicament"
"储备","儲備","chu2bei4","7","reserves"
"锄头","鋤頭","chu2tou","7","hoe"
"处方","處方","chu3fang1","7","medical prescription"
"处分","處分","chu3fen4","7","to discipline sb"
"处境","處境","chu3jing4","7","situation (of a person)"
"处事","處事","chu3shi4","7","to handle affairs"
"处于","處於","chu3yu2","7","to be in (some state, position, or condition)"
"处女","處女","chun3ü3","7","virgin"
"传递","傳遞","chuan2di4","7","to transmit"
"传奇","傳奇","chuan2qi2","7","legendary"
"传神","傳神","chuan2shen2","7","vivid"
"传授","傳授","chuan2shou4","7","to impart"
"船只","船隻","chuan2zhi1","7","ship"
"创伤","創傷","chuang1shang1","7","wound"
"创办","創辦","chuang4ban4","7","to establish"
"创立","創立","chuang4li4","7","to establish"
"创新","創新","chuang4xin1","7","innovation"
"创业","創業","chuang4ye4","7","to begin an undertaking"
"辞典","辭典","ci2dian3","7","dictionary (of Chinese compound words)"
"辞行","辭行","ci2xing2","7","to say goodbye"
"刺杀","刺殺","ci4sha1","7","to assassinate"
"从容","從容","cong1rong2","7","to go easy"
"从而","從而","cong2er2","7","thus"
"凑巧","湊巧","cou4qiao3","7","fortuitously"
"粗鲁","粗魯","cu1lu3","7","coarse"
"促销","促銷","cu4xiao1","7","to promote sales"
"簇拥","簇擁","cu4yong3","7","to crowd around"
"摧残","摧殘","cui1can2","7","to ravage"
"摧毁","摧毀","cui1hui3","7","to destroy"
"存货","存貨","cun2huo4","7","stock"
"答复","答覆","da2fu4","7","to answer"
"打斗","打鬥","da3dou4","7","to fight"
"打赌","打賭","da3du3","7","to bet"
"打发","打發","da3fa","7","to dispatch sb to do sth"
"打击","打擊","da3ji2","7","to hit"
"打猎","打獵","da3lie4","7","to go hunting"
"大队","大隊","da4dui4","7","group"
"大选","大選","da4xuan3","7","general election"
"代课","代課","dai4ke4","7","to teach as substitute for absent teacher"
"担当","擔當","dan1dang1","7","to take upon oneself"
"担负","擔負","dan1fu4","7","to shoulder"
"单独","單獨","dan1du2","7","alone"
"单价","單價","dan1jia4","7","unit price"
"单据","單據","dan1ju4","7","receipts"
"单亲","單親","dan1qin1","7","single parent"
"单行道","單行道","dan1xing2dao4","7","one-way street"
"胆固醇","膽固醇","dan3gu4chun2","7","cholesterol"
"导师","導師","dao3shi1","7","tutor"
"导致","導致","dao3zhi4","7","to lead to"
"岛屿","島嶼","dao3yu3","7","island"
"道别","道別","dao4bie2","7","leave taking"
"道义","道義","dao4yi4","7","morality"
"到头来","到頭來","dao4tou2lai2","7","in the end"
"倒数","倒數","dao4shu3","7","to count backwards (from 10 down to 0)"
"当兵","當兵","dang1bing1","7","to serve in the army"
"当代","當代","dang1dai4","7","the present age"
"当局","當局","dang1ju2","7","authorities"
"当前","當前","dang1qian2","7","current"
"当心","當心","dang1xin1","7","to take care"
"党派","黨派","dang3pai4","7","political party"
"党员","黨員","dang3yuan2","7","political party member"
"登场","登場","deng1chang3","7","to go on stage"
"登陆","登陸","deng1lu4","7","to land"
"灯火","燈火","deng1huo3","7","lights"
"灯笼","燈籠","deng1long","7","lantern"
"等价","等價","deng3jia4","7","equal"
"地势","地勢","di4shi4","7","terrain"
"地狱","地獄","di4yu4","7","hell"
"地质","地質","di4zhi2","7","geology"
"缔结","締結","di4jie2","7","to conclude (an agreement)"
"缔造","締造","di4zao4","7","to found"
"颠覆","顛覆","dian1fu4","7","to topple (i.e. knock over)"
"点子","點子","dian3zi","7","spot"
"惦记","惦記","dian4ji4","7","to think of"
"电工","電工","dian4gong1","7","electrician"
"电力","電力","dian4li4","7","electrical power"
"电流","電流","dian4liu2","7","electric current"
"电器","電器","dian4qi4","7","(electrical) appliance"
"电视剧","電視劇","dian4shi4ju4","7","TV play"
"电压","電壓","dian4ya1","7","voltage"
"调度","調度","diao4du4","7","to dispatch (vehicles, staff etc)"
"吊桥","吊橋","diao4qiao2","7","drawbridge"
"钓鱼","釣魚","diao4yu2","7","to fish (with line and hook)"
"定额","定額","din4ge2","7","fixed amount"
"定义","定義","ding4yi4","7","definition"
"钉","釘","ding4","7","nail"
"订购","訂購","ding4gou4","7","to place an order"
"丢弃","丟棄","diu1qi4","7","to discard"
"冻结","凍結","dong4jie2","7","to freeze (water etc)"
"动产","動產","dong4chan3","7","movable property"
"动机","動機","dong4ji1","7","motor"
"动静","動靜","dong4jing4","7","(detectable) movement"
"动力","動力","dong4li4","7","motive power"
"动乱","動亂","dong4luan4","7","turmoil"
"动脉","動脈","dong4mai4","7","artery"
"动态","動態","dong4tai4","7","movement"
"动向","動向","dong4xiang4","7","trend"
"动员","動員","dong4yuan2","7","to mobilize"
"斗志","鬥志","dou4zhi4","7","will to fight"
"独创","獨創","du2chuang4","7","to come up with (an innovation)"
"独到","獨到","du2dao4","7","original"
"读物","讀物","du2wu4","7","reading material"
"赌博","賭博","du3bo2","7","to gamble"
"赌场","賭場","du3chang3","7","casino"
"短暂","短暫","duan3zhan4","7","of short duration"
"断绝","斷絕","duan4jue2","7","to sever"
"堆积","堆積","dui1ji1","7","to pile up"
"队伍","隊伍","dui4wu3","7","ranks"
"兑现","兌現","dui4xian4","7","(of a check etc) to cash"
"对比","對比","dui4bi3","7","to contrast"
"对照","對照","dui4zhao4","7","to contrast"
"对峙","對峙","dui4zhi4","7","to stand opposite"
"顿时","頓時","dun4shi2","7","immediately"
"多亏","多虧","duo1kui1","7","thanks to"
"多媒体","多媒體","duo1mei2ti3","7","multimedia"
"夺魁","奪魁","duo2kui2","7","to seize"
"堕胎","墮胎","duo4tai1","7","to induce an abortion"
"额外","額外","e2wai4","7","extra"
"恶化","惡化","e4hua4","7","to worsen"
"恶性","惡性","e4xing4","7","malignant"
"恶意","惡意","e4yi4","7","malice"
"恩爱","恩愛","en1ai4","7","loving affection (in a couple)"
"儿女","兒女","er2nü3","7","children"
"发电","發電","fa1dian4","7","to generate electricity"
"发疯","發瘋","fa1feng1","7","to go mad"
"发掘","發掘","fa1jue2","7","to excavate"
"发誓","發誓","fa1shi4","7","to vow"
"发炎","發炎","fa1yan2","7","to become inflamed"
"发育","發育","fa1yu4","7","to develop"
"发作","發作","fa1zuo4","7","to flare up"
"法则","法則","fa3ze2","7","law"
"翻脸","翻臉","fan1lian3","7","to fall out with sb"
"繁体","繁體","fan2ti3","7","traditional form of Chinese, as opposed to simplified form 簡體|简体[jian3 ti3]"
"藩篱","藩籬","fan2li2","7","hedge"
"反击","反擊","fan3ji2","7","to strike back"
"犯规","犯規","fan4gui1","7","to break the rules"
"贩毒","販毒","fan4du2","7","to traffic narcotics"
"贩卖","販賣","fan4mai4","7","to sell"
"方向盘","方向盤","fang1xiang4pan2","7","steering wheel"
"方针","方針","fang1zhen1","7","policy"
"妨碍","妨礙","fan2gai4","7","to hinder"
"防备","防備","fang2bei4","7","to guard against"
"防范","防範","fang2fan4","7","to be on guard"
"防卫","防衛","fang2wei4","7","to defend"
"防御","防禦","fang2yu4","7","defense"
"纺织","紡織","fang3zhi1","7","spinning and weaving"
"放荡","放蕩","fang4dang4","7","unconventional"
"放宽","放寬","fang4kuan1","7","to relax restrictions"
"放松","放鬆","fang4song1","7","to loosen"
"飞弹","飛彈","fei1dan4","7","missile"
"飞快","飛快","fei1kuai4","7","very fast"
"飞翔","飛翔","fei1xiang2","7","to circle in the air"
"飞行","飛行","fei1xing2","7","(of planes etc) to fly"
"废除","廢除","fei4chu2","7","to abolish"
"废弃","廢棄","fei4qi4","7","to discard"
"废墟","廢墟","fei4xu1","7","ruins"
"废止","廢止","fei4zhi3","7","to repeal (a law)"
"费力","費力","fei4li4","7","to expend a great deal of effort"
"沸腾","沸騰","fei4teng2","7","(of a liquid) to boil"
"分贝","分貝","fen1bei4","7","decibel"
"分担","分擔","fen1dan1","7","to share (a burden, a cost, a responsibility)"
"分发","分發","fen1fa1","7","to distribute"
"分级","分級","fen1ji2","7","to rank"
"分离","分離","fen1li2","7","to separate"
"坟墓","墳墓","fen2mu4","7","grave"
"粉红","粉紅","fen3hong2","7","pink"
"粪","糞","fen4","7","manure"
"封闭","封閉","feng1bi4","7","to seal"
"封锁","封鎖","feng1suo3","7","to blockade"
"封条","封條","feng1tiao2","7","seal"
"风暴","風暴","feng1bao4","7","storm"
"风潮","風潮","feng1chao2","7","tempest"
"风光","風光","feng1guang1","7","scene"
"风化","風化","feng1hua4","7","decency"
"风力","風力","feng1li4","7","wind force"
"风尚","風尚","feng1shang4","7","current custom"
"风水","風水","feng1shui","7","feng shui"
"风行","風行","feng1xing2","7","to become fashionable"
"锋面","鋒面","feng1mian4","7","front (meteorology)"
"丰盛","豐盛","feng1sheng4","7","rich"
"丰收","豐收","feng1shou1","7","bumper harvest"
"奉献","奉獻","feng4xian4","7","to offer respectfully"
"奉养","奉養","feng4yang4","7","to look after (elderly parents)"
"佛经","佛經","fo2jing1","7","Buddhist texts"
"否决","否決","fou3jue2","7","to veto"
"肤浅","膚淺","fu1qian3","7","skin-deep"
"俘虏","俘虜","fu2lu3","7","captive"
"浮动","浮動","fu2dong4","7","to float and drift"
"服从","服從","fu2cong2","7","to obey (an order)"
"服饰","服飾","fu2shi4","7","apparel"
"福气","福氣","fu2qi4","7","good fortune"
"辐射","輻射","fu2she4","7","radiation"
"斧头","斧頭","fu3tou","7","ax"
"抚养","撫養","fu3yang3","7","to foster"
"抚育","撫育","fu3yu4","7","to nurture"
"腐烂","腐爛","fu3lan4","7","to rot"
"腐蚀","腐蝕","fu3shi2","7","corrosion"
"负面","負面","fu4mian4","7","negative"
"富贵","富貴","fu4gui4","7","riches and honor"
"妇人","婦人","fu4ren2","7","married woman"
